cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Soul Food,tiSw-6DIm3-mMORyEIOVyg,The Boil,139 Chrystie St,40.71974,-73.99339,1849,4.5,10002
Soul Food,4rWJGwb3rjDoZHA0AECa5A,Melba's,300 W 114th St,40.80314688,-73.95650692,998,4,10026
Soul Food,26E3j9l0XW_onVIUP-ThCw,Heidi's House By The Side Of The Road,308 E 78th St,40.772189,-73.955029,589,4.5,10075
Italy Cuisine,z8TIY5xLeQptbXxZp3LpsA,Felice 56,15 W 56th St,40.762862,-73.975396,6,5,10019
Italy Cuisine,7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,890 2nd Ave,40.753188,-73.969365,176,4.5,10017
Italy Cuisine,MphfKkYFEe0BDQ6hZ0A5fA,Gelso & Grand,186 Grand St,40.71940895,-73.99737779,840,4.5,10013
Italy Cuisine,OCTiJwvjoK81WoDwsTkFvA,Paesano of Mulberry Street,136 Mulberry St,40.718554,-73.997447,793,4,10013
Italy Cuisine,O5S9rhY63YPGiQeUcn7PKA,Cardoncello DiVino,43 W 27th St,40.74519,-73.98985,81,4.5,10001
Italy Cuisine,I2lgw_7DUnwD92ND4PN-Ow,Aunt Jake's,149 Mulberry St,40.7190315,-73.9977161,1358,4,10013
French Cuisine,ETgJqJHV7BW6pIr9Ox74sA,Amélie,22 W 8th St,40.7327,-73.99766,2576,4.5,10011
French Cuisine,FiRB9Ek3Xo9JHwXgBYITYg,La Sirène-Soho,558 Broome St,40.72436422,-74.00570869,1583,4.5,10013
French Cuisine,csVEpHy5KJoFvM1qp5XwLQ,Le Parisien,163 East 33rd St,40.74540793,-73.97914783,931,4,10016
French Cuisine,vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,155 W 51st St,40.761557,-73.981763,2461,4.5,10019
French Cuisine,Ac8y23odvFOIQSKdrV63Uw,Le Bateau Ivre,230 E 51st St,40.7558,-73.96905,424,4,10022
French Cuisine,KgpOYAG-r_eDsQXFXt0nnQ,Balthazar Restaurant,80 Spring St,40.72273039,-73.99833078,3001,4,10012
