cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Italy Cuisine,vpkTNjq9dRh9rT3Nh0pe-A,Nolita Pizza,68 Kenmare St,40.7208883,-73.9962404,14,5,10012
Italy Cuisine,-Td-YEPTOUq2H3LRWgRxUw,Non Solo Piada,302 W 37th St,40.75414,-73.99245,322,4.5,10018
Italy Cuisine,qgY41g_eg0eNzewCXmKcaA,Lillo Cucina Italiana,331 Henry St,40.69023,-73.99634,111,5,11201
Italy Cuisine,UQZmhaPAMdZabid6ccvhTg,Il Punto Ristorante,507 9th Ave,40.75612,-73.99467,340,4,10018
Italy Cuisine,SbevrHJ2M5Oc8_SHi79YQg,Caffe Napoli,191 Hester St,40.71819,-73.99777,616,3,10013
Italy Cuisine,jdNdy-MwBtnXoBGC_JVvwQ,Gaia Italian Café,251 E Houston St,40.721653,-73.985346,971,4,10002
Italy Cuisine,uboO7T3XSnl8iq0uQWhMXA,Café Altro Paradiso,234 Spring St,40.72549,-74.00489,139,3.5,10013
Italy Cuisine,DCiEo7qucPaEj7Gtdj1U9A,Sant Ambroeus,1000 Madison Ave,40.7752929376282,-73.9629447443084,371,4,10021
Italy Cuisine,bW3mY-voyav37nU0uaLmNQ,Dante,79-81 Macdougal St,40.72879,-74.00165,289,4,10012
Italy Cuisine,AUifp6IDKzmorCM6vY2fug,Pepe Giallo,195 10th Ave,40.7468940064083,-74.0049896784992,616,4,10011
Italy Cuisine,zo4JHfD2nWPUiqgsgDOaHQ,Rao's,455 E 114th St,40.79392,-73.93427,144,4.5,10029
Italy Cuisine,-FJ0bOC7okZbKvza8ZPzpw,Ristoro Del Cinghiale,122 E 27th St,40.74221,-73.98361,44,4,10016
Italy Cuisine,IErfGS0DASSJfYU73m0Sqg,Malatesta Trattoria,649 Washington St,40.73285,-74.00847,1215,4,10014
Italy Cuisine,Fit_iIDn__NPVZpVlKFBFQ,Osteria 106,53 W 106 St,40.79894,-73.96174,97,4.5,10025
Italy Cuisine,X9f5HH4x3Mi7lo4ph9efvQ,Terre,341 5th Ave,40.671949831792,-73.9837719490146,43,4,11215
Italy Cuisine,ddyYKrNWkdc5mudrmLaTvA,Flora,1021 8th Ave,40.66452,-73.97989,60,4.5,11215
Italy Cuisine,26emJlm1YMFyOCezfgVk4g,Da Raffaele,883 First Ave,40.7535386913133,-73.9666010811925,156,4.5,10022
Italy Cuisine,JLpEKUYAtzBRQwsUL3RPIA,Il Corso,54 W 55th St,40.762463,-73.977161,326,4.5,10019
Italy Cuisine,Ve6GVzzJpR5QIIPdcn6ViQ,Mercato,352 W 39th St,40.75619,-73.9937,839,4,10018
Italy Cuisine,aHRcUI_UqFNV87GF7WRIDQ,Aunt Jake's,47 W 8th St,40.73329,-73.99852,206,4,10011
Italy Cuisine,BP0Uujyof1WKGkLuPbTLKQ,Grotta Azzurra Restaurant,177 Mulberry St,40.720329,-73.997045,508,3,10013
Italy Cuisine,H_TGP2AgX3IUmzq8Aml79Q,L' Angolo Tribeca,190-A Duane St,40.71734,-74.01044,118,3.5,10013
Italy Cuisine,FRp1NwIyp6tkDU986cJkXQ,Piccola Cucina Estiatorio,75 Thompson St,40.7246,-74.0029799,64,4,10012
Italy Cuisine,-7iUpGTNDdy4WjxLGYp-_g,Trattoria Italienne,19 W 24th St,40.7430619,-73.9903948,133,4.5,10010
Italy Cuisine,JBthOvTegHbrLDiVaCAy5Q,Bigoi Venezia,1415 2nd Ave,40.770036,-73.9577755,213,4.5,10021
Italy Cuisine,6Z5OWpaeGGazJHR4LfThsw,Palma,28 Cornelia St,40.73115,-74.00233,694,4,10014
Italy Cuisine,SHG9wQ5PfyXDgJDYkrPu7Q,Vago Restaurant,495 3rd Ave,40.74528,-73.97823,155,4,10016
Italy Cuisine,yZJbealagfujEkgesAl2hA,Lupa,170 Thompson St,40.7276,-74.000045,1487,4,10012
Italy Cuisine,kLJfizeHMQqesp1K9mfUtg,Via Quadronno,25 E 73rd St,40.77277,-73.96514,511,4,10021
Italy Cuisine,Da9aNH6kW3fv4mTzqx3yPw,Caffe Palermo,148 Mulberry St,40.7189596,-73.9972725,540,3.5,10013
Italy Cuisine,h4VCnZ2aZ33mdenS_ZI7jQ,Mama Mia 44 SW,621 9th Ave,40.759761,-73.992065,541,4,10036
Italy Cuisine,5EmZzIWxYCrc1KOnbA78-w,Gran Tivoli,406 Broome St,40.72104,-73.99783,44,4,10013
